"removed","freqchal","pvi2","obama","cperhs","sexexp","book","author","state","antifamily","cmedin","cperba","days2000","occult","language","homosexuality","violence","booktitle","tag","date_challenged","year_challenged","month_challenged","challenge_n"
0,0,-13.4,0,8.73804213135068,1,927,"Allende, Isabel","AK",0,15707.5,0.676270136307309,1917,1,1,1,1,"House of the Spirits, The","not_rmvd",2005-04-01,2005,4,1
1,1,-13.4,0,8.73804213135068,0,1024,"Harris, Robie","AK",0,15707.5,0.676270136307309,2958,0,0,0,0,"It's Not the Stork!:  A Book About Girls, Boys, Babies and Bodies","rmvd",2008-02-06,2008,2,1
0,0,-13.4,1,8.73804213135068,0,1087,"Pyle, Howard","AK",0,15707.5,0.676270136307309,3197,0,0,0,1,"King Stork","not_rmvd",2008-10-02,2008,10,1
0,0,-13.4,1,8.73804213135068,0,936,"Levithan, David","AK",0,15707.5,0.676270136307309,3200,0,0,0,0,"How They Met and Other Stories","not_rmvd",2008-10-05,2008,10,1
0,0,-13.4,1,8.73804213135068,0,764,"Masamune, Shirow","AK",0,15707.5,0.676270136307309,3197,0,0,0,0,"Ghost in the Shell","not_rmvd",2008-10-02,2008,10,1
0,0,-13.4,0,8.73804213135068,0,1087,"Pyle, Howard","AK",0,15707.5,0.676270136307309,1351,0,0,0,1,"King Stork","not_rmvd",2003-09-13,2003,9,1
0,0,-13.4,0,8.73804213135068,0,1489,"Gage, Simon","AK",0,15707.5,0.676270136307309,1351,0,0,1,0,"Queer","not_rmvd",2003-09-13,2003,9,1
0,0,-13.4,0,8.73804213135068,0,2023,"Hesse, Karen","AK",0,15707.5,0.676270136307309,1351,0,0,0,0,"Witness","not_rmvd",2003-09-13,2003,9,1
0,1,-13.4,0,8.73804213135068,1,1025,"Harris, Robie","AK",0,15707.5,0.676270136307309,721,0,0,0,0,"It's Perfectly Normal","not_rmvd",2001-12-22,2001,12,1
1,0,-13.2,0,-4.26195786864932,0,318,"Koertge, Ron","AL",1,-5054,-5.02372986369269,2221,0,1,1,1,"Brimstone Journals, The","rmvd",2006-01-30,2006,1,1
0,0,-13.2,1,-4.26195786864932,1,1972,"Mazer, Norma Fox","AL",0,-5054,-5.02372986369269,3240,0,1,0,1,"When She Was Good","not_rmvd",2008-11-14,2008,11,1
1,1,-13.2,0,-4.26195786864932,0,1941,"Crutcher, Chris","AL",0,-5054,-5.02372986369269,1986,0,1,0,0,"Whale Talk","rmvd",2005-06-09,2005,6,1
1,0,-13.2,1,-4.26195786864932,0,988,"Lopez, Jack","AL",0,-5054,-5.02372986369269,3626,0,1,0,0,"In the Break","rmvd",2009-12-05,2009,12,1
0,0,-13.2,1,-4.26195786864932,0,63,"Kehret, Peg","AL",0,-5054,-5.02372986369269,3240,0,0,0,0,"Abduction","not_rmvd",2008-11-14,2008,11,1
1,0,-13.2,1,-4.26195786864932,0,255,"Oh, Minya","AL",0,-5054,-5.02372986369269,3240,0,1,0,0,"Bling Bling:  Hip Hop's Crown Jewels","rmvd",2008-11-14,2008,11,1
1,1,-13.2,0,-4.26195786864932,0,1941,"Crutcher, Chris","AL",0,-5054,-5.02372986369269,1924,0,1,0,0,"Whale Talk","rmvd",2005-04-08,2005,4,1
0,0,-13.2,1,-4.26195786864932,0,1088,"Kadohata, Cynthia","AL",0,-5054,-5.02372986369269,3240,0,1,0,0,"Kira-Kira","not_rmvd",2008-11-14,2008,11,1
0,0,-13.2,1,-4.26195786864932,1,1568,"Wittlinger, Ellen","AL",0,-5054,-5.02372986369269,3205,0,0,0,0,"Sandpiper","not_rmvd",2008-10-10,2008,10,1
0,1,-13.2,0,-4.26195786864932,1,958,"Angelou, Maya","AL",0,-5054,-5.02372986369269,480,0,0,0,0,"I Know Why the Caged Bird Sings","not_rmvd",2001-04-25,2001,4,1
