"","INC_DAYH","AVG_DISP_SEC","AVG_TRAV_SEC","CALL_QTY","INC_DOW","INC_H","INC_YMD"
"1",2013-01-01 00:00:00,379.309027777778,447.003745318352,288,2,0,2013-01-01
"2",2013-01-01 01:00:00,993.438438438438,457.897610921502,333,2,1,2013-01-01
"3",2013-01-01 02:00:00,1147.91927083333,628.45671641791,384,2,2,2013-01-01
"4",2013-01-01 03:00:00,1171.47798742138,517.711267605634,318,2,3,2013-01-01
"5",2013-01-01 04:00:00,818.127208480565,498.507633587786,283,2,4,2013-01-01
"6",2013-01-01 05:00:00,608.986363636364,500.882352941176,220,2,5,2013-01-01
"7",2013-01-01 06:00:00,397.077380952381,550.439024390244,168,2,6,2013-01-01
"8",2013-01-01 07:00:00,262.649350649351,467.364864864865,154,2,7,2013-01-01
"9",2013-01-01 08:00:00,98.2690058479532,433.969696969697,171,2,8,2013-01-01
"10",2013-01-01 09:00:00,75.8789473684211,413.598901098901,190,2,9,2013-01-01
"11",2013-01-01 10:00:00,42.188679245283,382.690322580645,159,2,10,2013-01-01
"12",2013-01-01 11:00:00,31.2839506172839,402.182389937107,162,2,11,2013-01-01
"13",2013-01-01 12:00:00,27.3151515151515,378.481481481481,165,2,12,2013-01-01
"14",2013-01-01 13:00:00,73.2525252525252,409.953846153846,198,2,13,2013-01-01
"15",2013-01-01 14:00:00,74.8563829787234,491.04347826087,188,2,14,2013-01-01
"16",2013-01-01 15:00:00,71.640243902439,441.664556962025,164,2,15,2013-01-01
"17",2013-01-01 16:00:00,76.2916666666667,435.196808510638,192,2,16,2013-01-01
"18",2013-01-01 17:00:00,114.471153846154,458.068965517241,208,2,17,2013-01-01
"19",2013-01-01 18:00:00,95.9714285714286,417.485549132948,175,2,18,2013-01-01
"20",2013-01-01 19:00:00,43.4893617021277,418.395604395604,188,2,19,2013-01-01
"21",2013-01-01 20:00:00,50.2254335260116,450.988165680473,173,2,20,2013-01-01
"22",2013-01-01 21:00:00,35.8851351351351,391.489361702128,148,2,21,2013-01-01
"23",2013-01-01 22:00:00,24.2666666666667,389.310606060606,135,2,22,2013-01-01
