INC_DAYH,CALL_QTY,TEMP,DEWP,PCP01,PCP06,PCP24,SPD,GUS,SD,SLP,VSB,INC_DOW,INC_H,INC_YMD
2013-01-01 00:00:00,288.0,37.0,20.0,0.0,0.0,0.0,9.0,18.0,0.0,1013.6,10.0,1,0,2013-01-01
2013-01-01 01:00:00,333.0,37.0,20.0,0.0,0.0,0.0,8.0,18.0,0.0,1012.5,10.0,1,1,2013-01-01
2013-01-01 02:00:00,384.0,38.0,20.0,0.0,0.0,0.0,7.0,16.0,0.0,1012.2,10.0,1,2,2013-01-01
2013-01-01 03:00:00,318.0,38.0,22.0,0.0,0.0,0.0,7.0,16.0,0.0,1012.4,10.0,1,3,2013-01-01
2013-01-01 04:00:00,283.0,38.0,23.0,0.0,0.0,0.0,6.0,16.0,0.0,1012.3,10.0,1,4,2013-01-01
2013-01-01 05:00:00,220.0,39.0,24.0,0.0,0.0,0.0,10.0,22.0,0.0,1011.4,10.0,1,5,2013-01-01
2013-01-01 06:00:00,168.0,38.0,26.0,0.0,0.0,0.0,3.0,17.0,0.0,1011.7,10.0,1,6,2013-01-01
2013-01-01 07:00:00,154.0,39.0,27.0,0.0,0.0,0.0,7.0,17.0,0.0,1011.6,10.0,1,7,2013-01-01
2013-01-01 08:00:00,171.0,39.0,27.0,0.0,0.0,0.0,9.0,17.0,0.0,1011.9,10.0,1,8,2013-01-01
2013-01-01 09:00:00,190.0,39.0,27.0,0.0,0.0,0.0,7.0,17.0,0.0,1011.6,10.0,1,9,2013-01-01
2013-01-01 10:00:00,159.0,39.0,26.0,0.0,0.0,0.0,7.0,21.0,0.0,1011.2,10.0,1,10,2013-01-01
2013-01-01 11:00:00,162.0,39.0,26.0,0.0,0.0,0.0,10.0,21.0,0.0,1011.6,10.0,1,11,2013-01-01
2013-01-01 12:00:00,165.0,38.0,27.0,0.0,0.0,0.0,7.0,21.0,0.0,1011.7,10.0,1,12,2013-01-01
2013-01-01 13:00:00,198.0,39.0,27.0,0.0,0.0,0.0,7.0,21.0,0.0,1011.8,10.0,1,13,2013-01-01
2013-01-01 14:00:00,188.0,39.0,27.0,0.0,0.0,0.0,10.0,17.0,0.0,1012.2,10.0,1,14,2013-01-01
2013-01-01 15:00:00,164.0,39.0,27.0,0.0,0.0,0.0,6.0,17.0,0.0,1011.9,10.0,1,15,2013-01-01
2013-01-01 16:00:00,192.0,39.0,26.0,0.0,0.0,0.0,5.0,16.0,0.0,1011.0,10.0,1,16,2013-01-01
2013-01-01 17:00:00,208.0,37.0,25.0,0.0,0.0,0.0,9.0,22.0,0.0,1011.2,10.0,1,17,2013-01-01
2013-01-01 18:00:00,175.0,37.0,25.0,0.0,0.0,0.0,0.0,22.0,0.0,1010.4,10.0,1,18,2013-01-01
2013-01-01 19:00:00,188.0,38.0,24.0,0.0,0.0,0.0,7.0,22.0,0.0,1010.4,10.0,1,19,2013-01-01
2013-01-01 20:00:00,173.0,38.0,21.0,0.0,0.0,0.0,7.0,22.0,0.0,1011.5,10.0,1,20,2013-01-01
2013-01-01 21:00:00,148.0,36.0,18.0,0.0,0.0,0.0,10.0,21.0,0.0,1011.6,10.0,1,21,2013-01-01
2013-01-01 22:00:00,135.0,35.0,16.0,0.0,0.0,0.0,5.0,21.0,0.0,1013.0,10.0,1,22,2013-01-01
2013-01-01 23:00:00,133.0,33.0,15.0,0.0,0.0,0.0,6.0,21.0,0.0,1013.8,10.0,1,23,2013-01-01
2013-01-02 00:00:00,112.0,32.0,14.0,0.0,0.0,0.0,5.0,21.0,0.0,1014.1,10.0,2,0,2013-01-02
2013-01-02 01:00:00,99.0,30.0,13.0,0.0,0.0,0.0,7.0,21.0,0.0,1014.9,10.0,2,1,2013-01-02
2013-01-02 02:00:00,96.0,29.0,12.0,0.0,0.0,0.0,11.0,22.0,0.0,1015.4,10.0,2,2,2013-01-02
