LEAD SOURCE,TYPE OF JOB,tot,was_sold,n
Referral (REF),ROOF,584,LOST,357
Prog City/County/Town,PROGRAM,271,LOST,145
Website (WS),ROOF,247,LOST,164
Previous Cust. (PC),ROOF,185,LOST,99
Angies List,ROOF,173,LOST,105
Previous Cust. (PC),REMODEL,137,LOST,73
Website (WS),COMBINATION,134,LOST,84
Referral (REF),COMBINATION,122,LOST,61
JS,ROOF,111,LOST,70
Previous Cust. (PC),COMBINATION,102,LOST,45
Previous Cust. (PC),W/D,100,LOST,42
Website (WS),SIDING,87,LOST,62
All Other Sources,ROOF,86,LOST,50
Referral (REF),REMODEL,84,LOST,60
Referral (REF),SIDING,73,LOST,50
Previous Cust. (PC),COMMERCIAL,61,LOST,22
Previous Cust. (PC),SIDING,60,LOST,29
REP,ROOF,56,LOST,37
PQ,ROOF,52,LOST,32
Referral (REF),W/D,52,LOST,27
Angies List,COMBINATION,46,LOST,25
Website (WS),REMODEL,44,LOST,40
Home Advisor,ROOF,41,LOST,20
Unknown,ROOF,41,LOST,26
Previous Cust. (PC),All Other Jobs,40,LOST,19
BS,ROOF,37,LOST,26
Angies List,SIDING,31,LOST,24
JS,SIDING,29,LOST,19
JS,COMBINATION,28,LOST,14
BS,COMBINATION,24,LOST,17
Referral (REF),All Other Jobs,22,LOST,12
JS,REMODEL,21,LOST,17
BS,REMODEL,18,LOST,15
RSS,ROOF,18,LOST,15
Website (WS),W/D,18,LOST,12
PQ,COMBINATION,16,LOST,6
Angies List,REMODEL,15,LOST,13
All Other Sources,COMBINATION,14,LOST,8
REP,SIDING,14,LOST,9
HS Dome,ROOF,13,LOST,11
REP,COMBINATION,13,LOST,10
All Other Sources,REMODEL,12,LOST,11
Angies List,W/D,12,LOST,11
HS Dome,COMBINATION,12,LOST,9
HS Dome,REMODEL,12,LOST,12
Google/Search,ROOF,11,LOST,10
RSS,COMBINATION,11,LOST,8
Unknown,REMODEL,11,LOST,9
All Other Sources,SIDING,10,LOST,9
Website (WS),All Other Jobs,10,LOST,4
BS,SIDING,9,LOST,5
BS,W/D,9,LOST,8
HS Dome,SIDING,9,LOST,5
PQ,SIDING,9,LOST,6
RSS,REMODEL,9,LOST,6
Referral (REF),PROGRAM,8,LOST,7
RSS,SIDING,8,LOST,8
Unknown,COMBINATION,8,LOST,5
REP,W/D,7,LOST,4
Angies List,All Other Jobs,6,LOST,4
PQ,W/D,6,LOST,1
Google/Search,COMBINATION,5,LOST,4
JS,W/D,5,LOST,3
PQ,REMODEL,5,LOST,5
Referral (REF),COMMERCIAL,5,LOST,2
All Other Sources,W/D,4,LOST,2
BS,All Other Jobs,4,LOST,4
Google/Search,SIDING,4,LOST,2
REP,REMODEL,4,LOST,3
Unknown,SIDING,4,LOST,3
Google/Search,All Other Jobs,3,LOST,1
PQ,All Other Jobs,3,LOST,0
Prog City/County/Town,ROOF,3,LOST,1
RSS,All Other Jobs,3,LOST,3
Website (WS),PROGRAM,3,LOST,2
All Other Sources,All Other Jobs,2,LOST,0
All Other Sources,PROGRAM,2,LOST,2
Google/Search,PROGRAM,2,LOST,1
Home Advisor,COMBINATION,2,LOST,0
PQ,COMMERCIAL,2,LOST,1
Previous Cust. (PC),PROGRAM,2,LOST,2
Prog City/County/Town,COMBINATION,2,LOST,2
REP,All Other Jobs,2,LOST,1
RSS,W/D,2,LOST,1
Unknown,All Other Jobs,2,LOST,2
Angies List,PROGRAM,1,LOST,1
Google/Search,REMODEL,1,LOST,1
Home Advisor,All Other Jobs,1,LOST,0
HS Dome,All Other Jobs,1,LOST,1
HS Dome,W/D,1,LOST,1
JS,All Other Jobs,1,LOST,1
PQ,PROGRAM,1,LOST,1
REP,COMMERCIAL,1,LOST,1
RSS,COMMERCIAL,1,LOST,1
Unknown,COMMERCIAL,1,LOST,0
