,latlon,zip_code
0,"40.728424,-73.99969",10012
1,"40.768486,-73.96362",10065
2,"40.693123,-73.98726",11201
3,"40.752895,-73.98925",10018
4,"40.835297,-73.91291",10456
5,"40.847427,-73.931404",10033
6,"40.7672,-73.887825",11370
7,"40.753914,-73.80674",11358
8,"40.701836,-73.82211",11418
9,"40.7456,-73.868095",11373
10,"40.715473,-73.95185",11211
11,"40.80682,-73.91749",10454
12,"40.79859,-73.933525",10035
13,"40.760384,-73.76846",11361
14,"40.851395,-73.94129",10033
15,"40.61913,-73.99019",11204
16,"40.695385,-73.840355",11418
17,"40.76542,-73.98383",10019
18,"40.804417,-73.955376",10026
19,"40.7163,-74.01097",10013
20,"40.732643,-73.98157",10009
21,"40.589855,-73.96352",11235
22,"40.794052,-73.970375",10025
23,"40.75184,-73.94806",11101
24,"40.77741,-73.978806",10023
25,"40.749844,-73.938995",11101
26,"40.871395,-73.89308",10468
27,"40.641747,-74.013824",11220
28,"40.675755,-73.88738",11207
29,"40.62368,-74.028",11209
30,"40.828457,-73.913895",10456
31,"40.737682,-73.85206",11368
32,"40.612236,-74.13626",10314
33,"40.62452,-74.13669",10302
34,"40.74766,-73.86346",11368
35,"40.668495,-73.925606",11233
36,"40.829155,-73.93728",10039
37,"40.80333,-73.94873",10026
38,"40.764107,-73.96682",10065
39,"40.650948,-73.94668",11226
40,"40.853474,-73.906456",10453
41,"40.65017,-73.92921",11203
42,"40.73975,-74.00253",10014
43,"40.84619,-73.93846",10033
44,"40.692135,-73.83485",11419
45,"40.640263,-74.019035",11220
46,"40.696686,-73.9378",11206
47,"40.815155,-73.95784",10027
48,"40.677483,-73.93033",11213
49,"40.722496,-73.9769",10009
50,"40.726524,-73.99585",10012
51,"40.708782,-73.94344",11206
52,"40.869473,-73.88626",10458
53,"40.7395,-73.98267",10010
54,"40.749966,-73.861755",11368
55,"40.878468,-73.82827",10475
56,"40.85667,-73.86569",10462
57,"40.69407,-73.82802",11418
58,"40.753998,-73.94244",11101
59,"40.762806,-73.993164",10036
60,"40.69467,-73.93115",11221
61,"40.67144,-73.77537",11434
62,"40.76311,-73.962524",10065
63,"40.754093,-73.99209",10018
64,"40.59263,-74.10084",10304
65,"40.85482,-73.9112",10453
66,"40.75648,-73.83136",11355
67,"40.701103,-73.92239",11237
68,"40.81207,-73.93603",10037
69,"40.607258,-74.00265",11214
70,"40.757523,-73.82914",11355
71,"40.723648,-73.99103",10002
72,"40.598003,-73.99191",11214
73,"40.668648,-73.92835",11213
74,"40.76768,-73.98216",10019
75,"40.753677,-73.914474",11103
76,"40.76685,-73.95376",10021
77,"40.846874,-73.90877",10457
78,"40.74217,-73.804436",11365
79,"40.758377,-73.994385",10018
80,"40.59296,-73.79418",11692
81,"40.79465,-73.971794",10025
82,"40.878643,-73.871605",10467
83,"40.69349,-73.97917",11205
84,"40.771828,-73.73322",11362
85,"40.686626,-73.96654",11238
86,"40.759884,-73.9368",11106
87,"40.67549,-73.93885",11213
88,"40.65766,-73.95323",11225
89,"40.651733,-73.93039",11203
90,"40.577946,-74.102325",10306
91,"40.73009,-73.874306",11379
92,"40.652554,-73.92078",11236
93,"40.734688,-73.79845",11365
94,"40.753407,-73.79243",11358
