"","OBJECTID","GEOID2","GEOID","GEOLABEL","HISL01_E","HISL02_E","HISL04_E","HISL05_E","HISL06_E","HISL07_E","HISL08_E","HISL09_E","HISL10_E","SXAG17_E","SXAG04_E","SXAG05_E","SXAG06_E","SXAG07_E","SXAG08_E","SXAG09_E","SXAG10_E","SXAG11_E","SXAG12_E","SXAG13_E","SXAG14_E","SXAG15_E","SXAG16_E","INC01_E","INC02_E","INC03_E","INC04_E","INC05_E","INC06_E","INC07_E","INC08_E","INC09_E","INC10_E","INC11_E","INC12_E","INC13_E","bcode","postalcity","borough","ems_boroughs","inc_ineq","zip_pop","pct_b","pct_nw","pct_lat","pct_pov","zip_code"
"1",5,10005,"8600000US10005","ZCTA5 10005",8680,527,6200,266,0,1404,0,57,226,30.2,401,268,126,244,1238,3313,1986,640,242,43,137,42,0,4239,290,66,73,60,87,323,212,967,570,1591,154213,201734,36061,"New York","Manhattan","MANHATTAN",0.741,8680,0.0306451612903226,0.285714285714286,0.0607142857142857,0.101203113941967,10005
"2",6,10006,"8600000US10006","ZCTA5 10006",3579,439,2303,60,0,662,0,0,115,30.7,398,117,37,0,370,1533,640,232,166,86,0,0,0,1815,72,72,11,0,19,209,130,430,190,682,145893,196771,36061,"New York","Manhattan","MANHATTAN",0.729,3579,0.0167644593461861,0.356524168762224,0.122659960882928,0.0853994490358127,10006
"3",7,10007,"8600000US10007","ZCTA5 10007",7036,626,4753,313,0,955,0,0,389,35.4,453,517,234,247,249,1729,1388,1134,281,390,294,99,21,2761,64,52,0,63,87,67,193,344,296,1595,242644,376573,36061,"New York","Manhattan","MANHATTAN",0.805,7036,0.0444855031267766,0.324474133030131,0.0889710062535532,0.042013763129301,10007
"4",8,10009,"8600000US10009","ZCTA5 10009",60141,15539,29968,4814,45,8000,36,393,1346,36.8,1533,1518,2060,2265,5835,15571,7929,7479,3741,3283,5295,2346,1286,29725,3879,2348,2771,1697,2546,3313,2903,5033,1839,3396,60521,90253,36061,"New York","Manhattan","MANHATTAN",0.529,60141,0.0800452270497664,0.501704328162152,0.258376149382285,0.302708158116064,10009
"5",1,10001,"8600000US10001","ZCTA5 10001",23947,3452,12349,2489,59,5213,5,51,329,35.3,622,893,832,1237,2524,5682,3505,2916,1348,1437,1638,1073,240,12347,1122,555,1035,403,1014,1425,1230,1938,864,2761,85221,161227,36061,"New York","Manhattan","MANHATTAN",0.634,23947,0.103937862780307,0.484319538981918,0.144151668267424,0.219648497610756,10001
"6",2,10002,"8600000US10002","ZCTA5 10002",77925,21350,16208,4762,377,33443,5,232,1548,41.8,2827,2907,3007,3209,5037,14605,10138,10600,4582,5276,7749,5193,2795,33461,5025,4218,4371,3013,3384,4187,2639,3078,1399,2147,35449,65718,36061,"New York","Manhattan","MANHATTAN",0.405,77925,0.0611100417067693,0.792005133140841,0.273981392364453,0.406861719613879,10002
"7",3,10003,"8600000US10003","ZCTA5 10003",55035,4358,40150,2058,90,7220,53,130,976,32.6,1846,797,593,7423,5037,14389,8134,4809,2405,3223,3600,1827,952,26699,1433,644,1526,1431,2268,3153,2316,3852,2917,7159,104441,182531,36061,"New York","Manhattan","MANHATTAN",0.667,55035,0.0373943853911147,0.270464250022713,0.0791859725629145,0.134948874489681,10003
"8",4,10004,"8600000US10004","ZCTA5 10004",2990,222,1882,5,0,790,10,31,50,35.6,100,83,111,135,152,866,607,403,183,152,164,34,0,1587,47,0,41,20,121,82,129,403,220,524,140450,191760,36061,"New York","Manhattan","MANHATTAN",0.71,2990,0.00167224080267559,0.37056856187291,0.074247491638796,0.0554505356017643,10004
"9",9,10010,"8600000US10010","ZCTA5 10010",33119,4223,21184,1778,186,4825,0,137,786,34.6,1530,947,726,1422,3134,9148,4719,3890,1960,1122,2726,1165,630,15972,833,609,717,698,754,1563,1673,3133,1177,4815,115084,177950,36061,"New York","Manhattan","MANHATTAN",0.684,33119,0.0536851958090522,0.360367160844228,0.127509888583592,0.135174054595542,10010
"10",10,10011,"8600000US10011","ZCTA5 10011",50711,5640,35997,2201,8,5269,4,417,1175,39.8,1685,1445,1020,1211,2917,12732,8554,6203,3447,3390,4611,2355,1141,28753,1892,822,1315,1412,1709,2835,1995,4765,3502,8506,123208,197050,36061,"New York","Manhattan","MANHATTAN",0.694,50711,0.0434028120131727,0.290154009978111,0.111218473309538,0.140124508746913,10011
"11",11,10012,"8600000US10012","ZCTA5 10012",24527,1609,16992,703,22,4188,21,53,939,34.5,848,436,445,620,2861,7349,3767,2712,923,1274,2006,871,415,12349,921,286,648,555,886,1496,1045,2071,1635,2806,104561,160244,36061,"New York","Manhattan","MANHATTAN",0.651,24527,0.0286622905369593,0.307212459738248,0.0656011742161699,0.150214592274678,10012
"12",12,10013,"8600000US10013","ZCTA5 10013",29619,1804,14966,1148,41,10291,0,105,1264,37.8,1912,1520,987,921,1847,5910,5259,3299,1340,1927,2531,1219,947,12207,637,623,1150,791,654,986,938,1455,898,4075,106056,252811,36061,"New York","Manhattan","MANHATTAN",0.707,29619,0.0387589047570816,0.494716229447314,0.0609068503325568,0.197427705414926,10013
"13",13,10014,"8600000US10014","ZCTA5 10014",31794,1989,26813,410,15,1762,0,171,634,36.8,1319,759,650,485,1169,10072,5137,4035,2018,1767,2706,1044,633,18481,625,480,815,1018,984,1828,2031,2578,2172,5950,127973,204690,36061,"New York","Manhattan","MANHATTAN",0.698,31794,0.0128955148770208,0.156664779518148,0.0625589733912059,0.103890482116769,10014
"14",14,10016,"8600000US10016","ZCTA5 10016",51448,4827,32397,1585,36,10413,0,493,1697,33.3,1934,869,1035,1341,5322,17104,5831,5266,3087,2094,4123,2205,1237,28681,1765,1080,1191,1358,1955,3480,2307,5345,3551,6649,109250,151829,36061,"New York","Manhattan","MANHATTAN",0.651,51448,0.0308078059399782,0.370296221427461,0.0938228891307728,0.140720337505666,10016
"15",15,10017,"8600000US10017","ZCTA5 10017",16388,1148,11397,336,0,3241,5,24,237,39.9,576,288,155,286,1042,4242,2619,1925,1019,870,2116,875,375,10076,470,126,475,380,624,1409,1007,1725,1326,2534,118469,169169,36061,"New York","Manhattan","MANHATTAN",0.66,16388,0.0205028069319014,0.304552111300952,0.0700512570173298,0.106292179436284,10017
"16",16,10018,"8600000US10018","ZCTA5 10018",9719,1611,4439,518,0,2847,0,24,280,32,496,66,158,131,936,3960,1884,951,415,298,293,119,12,4993,326,219,277,244,265,445,445,951,573,1248,107861,152396,36061,"New York","Manhattan","MANHATTAN",0.666,9719,0.0532976643687622,0.543265768083136,0.16575779401173,0.164630482675746,10018
