"","Precinct","boro","MedInc","ToPop","X","Y"
"1","1",1,121803.2753126,69337.0046624,980903.0076498,197873.4233651
"2","5",1,60769.6705572,51188.7574426,985040.7292517,200288.7562332
"3","6",1,115364.1529317,60599.9339115,983593.735717,206568.8701195
"4","7",1,40117.4220406,55271.9212397,988700.1320875,199933.4806463
"5","9",1,70538.5790354,75594.7592179,988854.2374981,203878.0644744
"6","10",1,74331.9540853,52003.3038412,983778.7034685,212721.3007248
"7","13",1,105855.1429678,94776.6053546,988561.9805738,208167.8701315
"8","14",1,66638.4961489,24455.5680635,987813.1585124,213266.2971922
"9","17",1,93537.1458943,71187.7599741,992249.6253125,212991.4978567
"10","18",1,101741.1808612,55525.8369013,988405.6384404,217367.7148309
"11","19",1,131602.7741017,208956.8884482,996292.4063741,220829.907579
"12","20",1,116429.5496575,99083.3279188,989318.5689789,223233.2659925
"13","22",1,35.2130019,190.7646159,993788.1202301,224358.3384217
"14","23",1,40463.7550901,74988.2121768,999607.6593247,227537.1603778
"15","24",1,91253.8863777,106182.5048161,992535.6305788,229144.2607171
"16","25",1,26078.1775452,50205.3982863,1003518.9660615,229527.6644111
"17","26",1,51153.2861621,48379.7660792,995626.3509583,235110.484725
"18","28",1,52333.1034,53323.4322135,997805.0043864,232430.0494489
"19","30",1,40814.4468115,63906.7746778,998209.648491,240247.1967814
"20","32",1,37007.6696026,79407.3290878,1000670.5673419,237766.3281232
"21","33",1,37001.0054609,85879.2821635,1000725.2379688,245714.1367319
"22","34",1,46312.9829353,122743.3724381,1004418.6387245,253366.7340115
"23","40",2,23458.6894137,98961.0930578,1007372.5484164,234727.1010405
"24","41",2,22214.907477,55511.7549376,1015314.4379145,235660.6041885
"25","42",2,20643.2908043,85149.7727211,1012298.7187028,242618.7042414
"26","43",2,35752.7386328,179693.4777697,1022575.102848,239785.4514798
"27","44",2,26060.7280346,147548.2374127,1006166.4923833,243067.7911753
"28","45",2,56351.1863815,125327.1869446,1034933.6736099,248588.6028959
"29","46",2,23298.4064611,127810.2464742,1009265.4598573,249972.2901866
"30","47",2,49141.2592967,161860.4069225,1025082.7763591,262449.9215668
"31","48",2,21811.0659152,88107.8151638,1015339.5198833,248933.3102813
"32","49",2,51105.9956998,121105.1482599,1024713.1869511,251211.9131846
"33","50",2,60848.2503839,102537.7723001,1011768.9336141,264439.902848
"34","52",2,33260.3243806,143146.9513569,1015684.2934269,254941.8973307
"35","60",3,35034.2925199,98299.9798474,989212.5054962,150825.5205502
"36","61",3,54810.0040713,164633.4838096,998376.6856565,155785.2346648
"37","62",3,51512.8060303,189244.7927243,986016.7175243,160506.5568724
"38","63",3,70047.4892714,117337.3671993,1009239.0459229,160680.7465449
"39","66",3,41061.6065292,193077.5372971,988894.3268677,169252.8137386
"40","67",3,46095.9900771,155416.7709759,1002615.719436,175389.436774
"41","68",3,61388.6092635,128477.5669768,977737.4894923,166349.6779601
"42","69",3,63170.1376335,88943.9835052,1014209.9536614,170499.0623348
"43","70",3,51159.8827563,163445.445831,995596.8687801,169481.161939
"44","71",3,41811.1376733,103593.4138522,998974.3155358,180759.859466
"45","72",3,48566.1132137,131390.6899651,983936.278042,176810.6403748
"46","73",3,30774.2279558,90913.5168396,1008955.0018403,182721.0392182
"47","75",3,36832.42348,182079.9806559,1018264.8654294,181372.1595027
"48","76",3,97652.6086224,47652.4380932,983357.1767719,186746.2224718
"49","77",3,48219.1438902,92512.80296,999532.4774021,184849.4009656
"50","78",3,100373.9617083,74130.2009264,990653.9755683,183142.895378
"51","79",3,40474.6748087,95135.4546995,998342.047553,190392.9135191
"52","81",3,37068.1752541,67410.5479222,1003852.9375181,189090.464778
"53","83",3,41878.411076,118493.9515018,1007310.3468141,192335.3070835
"54","84",3,105752.0823011,58525.4098251,987327.5809737,192421.3326552
"55","88",3,69703.7007786,58372.30758,992465.8500796,191661.9844924
"56","90",3,43327.8982044,125460.3263254,999046.36299,197477.465196
"57","94",3,76438.1428502,59900.0812634,998737.9949316,203446.9080303
"58","100",4,63300.772105,49091.9219114,1024977.8302074,152373.7787826
"59","101",4,42785.1932293,71990.4870472,1049973.5023287,158126.2807505
"60","102",4,59906.7267071,156640.8482238,1028169.9169318,193029.5552042
"61","103",4,47780.7413908,109314.675522,1043573.163372,195719.9771785
"62","104",4,62072.87855,174279.5881552,1014598.2886792,198261.0450279
"63","105",4,74732.3756756,198322.2984499,1057214.346833,194444.0816567
"64","106",4,62122.7437138,135650.802116,1030643.569635,183130.0905699
"65","107",4,64299.9003828,160588.2600355,1040412.0623337,203900.9935435
"66","108",4,57826.9775788,120700.258578,1005577.2678908,209070.4244626
"67","109",4,53670.6377557,248608.6503255,1035324.9919901,220466.8238978
"68","110",4,40410.0653057,168711.3128431,1023097.2467464,210253.3362091
"69","111",4,77625.0052482,119922.112807,1050955.6109711,215055.2652127
"70","112",4,71168.8563413,114298.6123159,1025898.7172718,202524.2914285
"71","113",4,61798.1307433,135690.4050445,1044890.1264819,180181.3326574
"72","114",4,54751.4682358,197220.0244506,1007963.4138853,219829.480022
"73","115",4,47622.2106227,167223.0264973,1018541.8803975,217143.3202646
"74","120",5,59726.9768259,111619.6803118,957480.9746077,167094.1561572
"75","121",5,67523.9968523,118668.5869513,938098.7754066,160407.2152894
"76","122",5,74830.0471787,138671.5126431,952045.6323135,148983.4747186
"77","123",5,86288.4592649,102094.665371,927027.8841211,134924.111406
