"","ID","TRANSECT","SPECIES","TUBEX","YEAR","HEIGHT"
"1",1,5,"Basswood",0,2010,5
"2",1,5,"Basswood",0,2006,3.9
"3",1,5,"Basswood",0,2002,2.75
"4",1,5,"Basswood",0,1999,1.57
"5",1,5,"Basswood",0,1995,1.094
"6",1,5,"Basswood",0,1993,0.88
"7",1,5,"Basswood",0,1992,0.857
"8",1,5,"Basswood",0,1991,0.816
"9",1,5,"Basswood",0,1990,0.59
"10",2,5,"Basswood",0,2010,6.5
"11",2,5,"Basswood",0,2006,4.6
"12",2,5,"Basswood",0,2002,3.65
"13",2,5,"Basswood",0,1999,2.73
"14",2,5,"Basswood",0,1997,2.55
"15",2,5,"Basswood",0,1995,1.765
"16",2,5,"Basswood",0,1993,1.094
"17",2,5,"Basswood",0,1992,1.025
"18",2,5,"Basswood",0,1991,0.771
"19",2,5,"Basswood",0,1990,0.29
"20",3,5,"Basswood",0,2010,9.1
"21",3,5,"Basswood",0,2006,7.2
"22",3,5,"Basswood",0,2002,4.5
"23",3,5,"Basswood",0,1999,3.3
"24",3,5,"Basswood",0,1997,2.9
"25",3,5,"Basswood",0,1993,1.01
"26",3,5,"Basswood",0,1992,1.007
"27",3,5,"Basswood",0,1991,0.715
"28",3,5,"Basswood",0,1990,0.565
"29",4,5,"Basswood",0,2010,7.7
"30",4,5,"Basswood",0,2006,6.1
"31",4,5,"Basswood",0,2002,4.1
"32",4,5,"Basswood",0,1999,2.63
"33",4,5,"Basswood",0,1997,1.97
"34",4,5,"Basswood",0,1995,1.666
"35",4,5,"Basswood",0,1993,1.428
"36",4,5,"Basswood",0,1992,0.874
"37",4,5,"Basswood",0,1991,0.722
"38",4,5,"Basswood",0,1990,0.545
"39",5,5,"Basswood",0,2010,8.1
"40",5,5,"Basswood",0,2006,6.7
"41",5,5,"Basswood",0,2002,4.7
"42",5,5,"Basswood",0,1999,3.17
"43",5,5,"Basswood",0,1997,2.84
"44",5,5,"Basswood",0,1995,1.965
"45",5,5,"Basswood",0,1993,1.224
"46",5,5,"Basswood",0,1992,0.881
"47",5,5,"Basswood",0,1991,0.41
"48",5,5,"Basswood",0,1990,0.284
"49",6,5,"Basswood",0,2010,10.4
"50",6,5,"Basswood",0,2006,7.9
"51",6,5,"Basswood",0,2002,5.8
"52",6,5,"Basswood",0,1999,4
"53",6,5,"Basswood",0,1997,3.47
"54",6,5,"Basswood",0,1995,2.463
"55",6,5,"Basswood",0,1993,2.04
"56",6,5,"Basswood",0,1992,2
"57",6,5,"Basswood",0,1991,1.955
"58",6,5,"Basswood",0,1990,1.73
"59",12,9,"Basswood",0,2010,8.6
"60",12,9,"Basswood",0,2006,5.5
"61",12,9,"Basswood",0,2002,4.3
"62",12,9,"Basswood",0,1999,2.95
"63",12,9,"Basswood",0,1997,2.26
"64",12,9,"Basswood",0,1995,1.346
"65",12,9,"Basswood",0,1993,1.101
"66",12,9,"Basswood",0,1992,1.06
"67",12,9,"Basswood",0,1991,1.04
"68",12,9,"Basswood",0,1990,1
"69",13,9,"Basswood",0,2010,11.4
"70",13,9,"Basswood",0,2006,7.7
"71",13,9,"Basswood",0,2002,5.55
"72",13,9,"Basswood",0,1999,3.83
"73",13,9,"Basswood",0,1997,2.57
"74",13,9,"Basswood",0,1995,1.212
"75",13,9,"Basswood",0,1993,0.955
"76",13,9,"Basswood",0,1992,0.792
"77",13,9,"Basswood",0,1991,0.792
"78",13,9,"Basswood",0,1990,0.765
"79",15,9,"Basswood",0,2010,10.4
"80",15,9,"Basswood",0,2006,8.3
"81",15,9,"Basswood",0,2002,7
"82",15,9,"Basswood",0,1999,3.74
"83",15,9,"Basswood",0,1997,3.1
"84",15,9,"Basswood",0,1995,1.824
"85",15,9,"Basswood",0,1993,1.081
"86",15,9,"Basswood",0,1992,1.02
"87",15,9,"Basswood",0,1991,0.626
"88",15,9,"Basswood",0,1990,0.515
"89",21,9,"Basswood",0,2010,11.6
"90",21,9,"Basswood",0,2006,7.8
"91",21,9,"Basswood",0,2002,5.6
"92",21,9,"Basswood",0,1999,2.26
"93",21,9,"Basswood",0,1997,1.38
"94",21,9,"Basswood",0,1995,1.049
"95",24,1,"Bur Oak",0,1997,1.82
"96",24,1,"Bur Oak",0,1995,1.088
"97",24,1,"Bur Oak",0,1993,0.781
"98",24,1,"Bur Oak",0,1992,0.485
"99",24,1,"Bur Oak",0,1991,0.358
"100",24,1,"Bur Oak",0,1990,0.355
"101",26,1,"Bur Oak",0,2010,5
"102",26,1,"Bur Oak",0,2006,4
"103",26,1,"Bur Oak",0,2002,3.9
"104",26,1,"Bur Oak",0,1999,1.75
"105",26,1,"Bur Oak",0,1997,1.2
"106",26,1,"Bur Oak",0,1995,0.632
"107",26,1,"Bur Oak",0,1993,0.265
"108",26,1,"Bur Oak",0,1992,0.254
"109",26,1,"Bur Oak",0,1991,0.204
"110",26,1,"Bur Oak",0,1990,0.188
"111",27,1,"Bur Oak",0,2010,5
"112",27,1,"Bur Oak",0,2006,4.4
"113",27,1,"Bur Oak",0,2002,3.6
"114",27,1,"Bur Oak",0,1999,1.88
"115",27,1,"Bur Oak",0,1997,1.39
"116",27,1,"Bur Oak",0,1995,0.861
"117",27,1,"Bur Oak",0,1993,0.365
"118",27,1,"Bur Oak",0,1992,0.282
"119",27,1,"Bur Oak",0,1991,0.28
"120",27,1,"Bur Oak",0,1990,0.26
"121",30,1,"Bur Oak",0,2010,5.7
"122",30,1,"Bur Oak",0,2006,4.8
"123",30,1,"Bur Oak",0,2002,3.35
"124",30,1,"Bur Oak",0,1999,2.29
"125",30,1,"Bur Oak",0,1997,1.88
"126",30,1,"Bur Oak",0,1995,0.736
"127",30,1,"Bur Oak",0,1993,0.554
"128",30,1,"Bur Oak",0,1992,0.444
"129",30,1,"Bur Oak",0,1991,0.35
"130",30,1,"Bur Oak",0,1990,0.315
"131",31,1,"Bur Oak",0,2010,5.3
"132",31,1,"Bur Oak",0,2006,4
"133",31,1,"Bur Oak",0,2002,3
"134",31,1,"Bur Oak",0,1999,2
"135",31,1,"Bur Oak",0,1997,1.49
"136",31,1,"Bur Oak",0,1995,0.828
"137",31,1,"Bur Oak",0,1993,0.388
"138",31,1,"Bur Oak",0,1992,0.36
"139",31,1,"Bur Oak",0,1991,0.338
"140",31,1,"Bur Oak",0,1990,0.175
"141",32,1,"Bur Oak",0,2010,5.7
"142",32,1,"Bur Oak",0,2006,4.1
"143",32,1,"Bur Oak",0,2002,2.95
"144",32,1,"Bur Oak",0,1999,1
"145",32,1,"Bur Oak",0,1997,0.96
"146",32,1,"Bur Oak",0,1995,0.709
"147",32,1,"Bur Oak",0,1993,0.293
"148",32,1,"Bur Oak",0,1992,0.198
"149",32,1,"Bur Oak",0,1991,0.195
"150",32,1,"Bur Oak",0,1990,0.19
"151",33,1,"Bur Oak",0,2010,5.2
"152",33,1,"Bur Oak",0,2006,3.2
"153",33,1,"Bur Oak",0,2002,2.75
"154",33,1,"Bur Oak",0,1999,1.91
"155",33,1,"Bur Oak",0,1997,1.51
"156",33,1,"Bur Oak",0,1995,0.887
"157",33,1,"Bur Oak",0,1993,0.448
"158",33,1,"Bur Oak",0,1992,0.42
"159",33,1,"Bur Oak",0,1991,0.315
"160",33,1,"Bur Oak",0,1990,0.29
"161",34,1,"Bur Oak",0,2010,4.1
"162",34,1,"Bur Oak",0,2006,3.4
"163",34,1,"Bur Oak",0,2002,2.45
"164",34,1,"Bur Oak",0,1999,1.57
"165",34,1,"Bur Oak",0,1997,1.06
"166",34,1,"Bur Oak",0,1993,0.299
"167",34,1,"Bur Oak",0,1992,0.203
"168",34,1,"Bur Oak",0,1991,0.184
"169",34,1,"Bur Oak",0,1990,0.13
"170",37,1,"Bur Oak",0,2010,6
"171",37,1,"Bur Oak",0,2006,4.2
"172",37,1,"Bur Oak",0,2002,2.9
"173",37,1,"Bur Oak",0,1999,2.02
"174",37,1,"Bur Oak",0,1992,0.355
"175",37,1,"Bur Oak",0,1991,0.26
"176",37,1,"Bur Oak",0,1990,0.22
"177",38,1,"Bur Oak",0,2010,4.9
"178",38,1,"Bur Oak",0,2006,4.4
"179",38,1,"Bur Oak",0,2002,3.55
"180",38,1,"Bur Oak",0,1999,2.92
"181",38,1,"Bur Oak",0,1995,0.966
"182",38,1,"Bur Oak",0,1993,0.882
"183",38,1,"Bur Oak",0,1992,0.427
"184",38,1,"Bur Oak",0,1991,0.278
"185",38,1,"Bur Oak",0,1990,0.245
"186",43,1,"Bur Oak",0,2010,6.2
"187",43,1,"Bur Oak",0,2006,5
"188",43,1,"Bur Oak",0,2002,3.7
"189",43,1,"Bur Oak",0,1999,2.22
"190",43,1,"Bur Oak",0,1997,1.6
"191",43,1,"Bur Oak",0,1995,0.934
"192",43,1,"Bur Oak",0,1993,0.516
"193",43,1,"Bur Oak",0,1992,0.46
"194",43,1,"Bur Oak",0,1991,0.35
"195",43,1,"Bur Oak",0,1990,0.316
"196",44,1,"Bur Oak",0,2010,6.6
"197",44,1,"Bur Oak",0,2006,6.1
"198",44,1,"Bur Oak",0,2002,3.6
"199",44,1,"Bur Oak",0,1999,2.72
"200",44,1,"Bur Oak",0,1997,1.87
"201",44,1,"Bur Oak",0,1995,0.989
"202",44,1,"Bur Oak",0,1993,0.557
"203",44,1,"Bur Oak",0,1992,0.25
"204",44,1,"Bur Oak",0,1991,0.228
"205",44,1,"Bur Oak",0,1990,0.122
"206",45,1,"Bur Oak",0,2010,5.1
"207",45,1,"Bur Oak",0,2006,3.7
"208",45,1,"Bur Oak",0,2002,2.3
"209",45,1,"Bur Oak",0,1999,1.4
"210",45,1,"Bur Oak",0,1997,1.1
"211",45,1,"Bur Oak",0,1995,0.81
"212",45,1,"Bur Oak",0,1993,0.415
"213",45,1,"Bur Oak",0,1992,0.412
"214",45,1,"Bur Oak",0,1991,0.4
"215",45,1,"Bur Oak",0,1990,0.376
"216",46,1,"Bur Oak",0,2010,4
"217",46,1,"Bur Oak",0,2006,3.3
"218",46,1,"Bur Oak",0,2002,2.55
"219",46,1,"Bur Oak",0,1999,1.22
"220",46,1,"Bur Oak",0,1995,0.38
"221",46,1,"Bur Oak",0,1993,0.371
"222",46,1,"Bur Oak",0,1992,0.305
"223",46,1,"Bur Oak",0,1991,0.13
"224",46,1,"Bur Oak",0,1990,0.114
"225",47,1,"Bur Oak",0,2006,3.4
"226",47,1,"Bur Oak",0,1997,1.07
"227",47,1,"Bur Oak",0,1995,0.825
"228",47,1,"Bur Oak",0,1993,0.439
"229",47,1,"Bur Oak",0,1992,0.335
"230",47,1,"Bur Oak",0,1991,0.31
"231",47,1,"Bur Oak",0,1990,0.276
"232",48,1,"Bur Oak",0,2010,5.5
"233",48,1,"Bur Oak",0,2006,4
"234",48,1,"Bur Oak",0,2002,2.5
"235",48,1,"Bur Oak",0,1999,1.88
"236",48,1,"Bur Oak",0,1997,1.79
"237",48,1,"Bur Oak",0,1993,0.478
"238",48,1,"Bur Oak",0,1992,0.36
"239",48,1,"Bur Oak",0,1991,0.35
"240",48,1,"Bur Oak",0,1990,0.25
"241",65,1,"Bur Oak",0,2010,3.6
"242",65,1,"Bur Oak",0,2006,2.8
"243",65,1,"Bur Oak",0,2002,2.19
"244",65,1,"Bur Oak",0,1999,2.05
"245",65,1,"Bur Oak",0,1997,1.4
"246",65,1,"Bur Oak",0,1993,0.495
"247",65,1,"Bur Oak",0,1992,0.491
"248",65,1,"Bur Oak",0,1991,0.468
"249",65,1,"Bur Oak",0,1990,0.405
"250",67,1,"Bur Oak",0,2010,4
"251",67,1,"Bur Oak",0,2006,3.4
"252",67,1,"Bur Oak",0,2002,2.3
"253",67,1,"Bur Oak",0,1999,1.37
"254",67,1,"Bur Oak",0,1997,1.1
"255",67,1,"Bur Oak",0,1995,1.076
"256",67,1,"Bur Oak",0,1993,0.49
"257",67,1,"Bur Oak",0,1992,0.466
"258",67,1,"Bur Oak",0,1991,0.458
"259",67,1,"Bur Oak",0,1990,0.445
"260",68,1,"Bur Oak",0,2010,2.2
"261",68,1,"Bur Oak",0,2006,1.59
"262",68,1,"Bur Oak",0,2002,1.2
"263",68,1,"Bur Oak",0,1999,0.55
"264",68,1,"Bur Oak",0,1993,0.23
"265",68,1,"Bur Oak",0,1992,0.098
"266",68,1,"Bur Oak",0,1991,0.088
"267",68,1,"Bur Oak",0,1990,0.062
"268",125,5,"Bur Oak",0,2010,2.3
"269",125,5,"Bur Oak",0,2006,2.3
"270",125,5,"Bur Oak",0,2002,2.17
"271",125,5,"Bur Oak",0,1999,1.48
"272",125,5,"Bur Oak",0,1997,0.593
"273",125,5,"Bur Oak",0,1995,0.4
"274",125,5,"Bur Oak",0,1993,0.343
"275",125,5,"Bur Oak",0,1992,0.335
"276",125,5,"Bur Oak",0,1991,0.321
"277",125,5,"Bur Oak",0,1990,0.28
"278",126,5,"Bur Oak",0,2010,5
"279",126,5,"Bur Oak",0,2006,3.8
"280",126,5,"Bur Oak",0,2002,2.6
"281",126,5,"Bur Oak",0,1999,1.78
"282",126,5,"Bur Oak",0,1997,1.17
"283",126,5,"Bur Oak",0,1995,0.622
"284",126,5,"Bur Oak",0,1993,0.282
"285",126,5,"Bur Oak",0,1992,0.22
"286",126,5,"Bur Oak",0,1991,0.145
"287",126,5,"Bur Oak",0,1990,0.118
"288",127,5,"Bur Oak",0,2010,2.9
"289",127,5,"Bur Oak",0,2006,2.6
"290",127,5,"Bur Oak",0,2002,1.9
"291",127,5,"Bur Oak",0,1999,1.64
"292",127,5,"Bur Oak",0,1997,0.93
"293",127,5,"Bur Oak",0,1995,0.738
"294",127,5,"Bur Oak",0,1993,0.437
"295",127,5,"Bur Oak",0,1992,0.261
"296",127,5,"Bur Oak",0,1991,0.131
"297",127,5,"Bur Oak",0,1990,0.12
"298",128,5,"Bur Oak",0,2010,1.6
"299",128,5,"Bur Oak",0,2006,1.6
"300",128,5,"Bur Oak",0,2002,1
"301",128,5,"Bur Oak",0,1999,0.66
"302",128,5,"Bur Oak",0,1997,0.45
"303",128,5,"Bur Oak",0,1995,0.387
"304",128,5,"Bur Oak",0,1993,0.285
"305",128,5,"Bur Oak",0,1992,0.228
"306",128,5,"Bur Oak",0,1991,0.15
"307",128,5,"Bur Oak",0,1990,0.148
"308",129,5,"Bur Oak",0,2006,3.2
"309",129,5,"Bur Oak",0,2002,2.8
"310",129,5,"Bur Oak",0,1999,1.89
"311",129,5,"Bur Oak",0,1997,1.03
"312",129,5,"Bur Oak",0,1995,0.82
"313",129,5,"Bur Oak",0,1993,0.361
"314",129,5,"Bur Oak",0,1992,0.185
"315",129,5,"Bur Oak",0,1991,0.15
"316",129,5,"Bur Oak",0,1990,0.104
"317",130,5,"Bur Oak",0,2010,2.4
"318",130,5,"Bur Oak",0,2006,1.8
"319",130,5,"Bur Oak",0,2002,1.02
"320",130,5,"Bur Oak",0,1999,0.67
"321",130,5,"Bur Oak",0,1995,0.204
"322",130,5,"Bur Oak",0,1993,0.14
"323",130,5,"Bur Oak",0,1992,0.11
"324",130,5,"Bur Oak",0,1991,0.108
"325",130,5,"Bur Oak",0,1990,0.099
"326",132,5,"Bur Oak",0,2010,5.9
"327",132,5,"Bur Oak",0,2006,4.5
"328",132,5,"Bur Oak",0,2002,3.7
"329",132,5,"Bur Oak",0,1999,2.67
"330",132,5,"Bur Oak",0,1997,2.1
"331",132,5,"Bur Oak",0,1995,1.22
"332",132,5,"Bur Oak",0,1992,0.25
"333",132,5,"Bur Oak",0,1991,0.193
"334",132,5,"Bur Oak",0,1990,0.141
"335",133,5,"Bur Oak",0,2010,6.2
"336",133,5,"Bur Oak",0,2006,3.8
"337",133,5,"Bur Oak",0,2002,2.65
"338",133,5,"Bur Oak",0,1999,1.53
"339",133,5,"Bur Oak",0,1997,1.01
"340",133,5,"Bur Oak",0,1995,0.585
"341",133,5,"Bur Oak",0,1993,0.41
"342",133,5,"Bur Oak",0,1992,0.34
"343",133,5,"Bur Oak",0,1991,0.33
"344",133,5,"Bur Oak",0,1990,0.327
"345",134,5,"Bur Oak",0,2010,5.3
"346",134,5,"Bur Oak",0,2006,2.9
"347",134,5,"Bur Oak",0,2002,2.15
"348",134,5,"Bur Oak",0,1999,1.12
"349",134,5,"Bur Oak",0,1997,0.76
"350",134,5,"Bur Oak",0,1995,0.397
"351",134,5,"Bur Oak",0,1992,0.265
"352",134,5,"Bur Oak",0,1991,0.158
"353",134,5,"Bur Oak",0,1990,0.12
"354",135,5,"Bur Oak",0,2010,6.5
"355",135,5,"Bur Oak",0,2006,4.1
"356",135,5,"Bur Oak",0,2002,3.6
"357",135,5,"Bur Oak",0,1999,2.28
"358",135,5,"Bur Oak",0,1997,1.3
"359",135,5,"Bur Oak",0,1995,0.808
"360",135,5,"Bur Oak",0,1993,0.398
"361",135,5,"Bur Oak",0,1992,0.27
"362",135,5,"Bur Oak",0,1991,0.264
"363",135,5,"Bur Oak",0,1990,0.16
"364",136,5,"Bur Oak",0,2010,2
"365",136,5,"Bur Oak",0,2006,1.7
"366",136,5,"Bur Oak",0,2002,1.25
"367",136,5,"Bur Oak",0,1999,0.85
"368",136,5,"Bur Oak",0,1997,0.5
"369",136,5,"Bur Oak",0,1995,0.363
"370",136,5,"Bur Oak",0,1993,0.211
"371",136,5,"Bur Oak",0,1992,0.185
"372",136,5,"Bur Oak",0,1991,0.159
"373",136,5,"Bur Oak",0,1990,0.145
"374",137,5,"Bur Oak",0,2010,4.4
"375",137,5,"Bur Oak",0,2006,3.05
"376",137,5,"Bur Oak",0,2002,2.8
"377",137,5,"Bur Oak",0,1999,2.24
"378",137,5,"Bur Oak",0,1997,1.77
"379",137,5,"Bur Oak",0,1995,0.945
"380",137,5,"Bur Oak",0,1993,0.47
"381",137,5,"Bur Oak",0,1992,0.24
"382",137,5,"Bur Oak",0,1991,0.216
"383",137,5,"Bur Oak",0,1990,0.2
"384",138,5,"Bur Oak",0,2010,4.1
"385",138,5,"Bur Oak",0,2006,3.3
"386",138,5,"Bur Oak",0,2002,2.25
"387",138,5,"Bur Oak",0,1999,1.05
"388",138,5,"Bur Oak",0,1993,0.365
"389",138,5,"Bur Oak",0,1992,0.32
"390",138,5,"Bur Oak",0,1991,0.258
"391",138,5,"Bur Oak",0,1990,0.209
"392",139,5,"Bur Oak",0,2010,3.7
"393",139,5,"Bur Oak",0,2006,2.7
"394",139,5,"Bur Oak",0,2002,2.28
"395",139,5,"Bur Oak",0,1999,1.11
"396",139,5,"Bur Oak",0,1997,0.75
"397",139,5,"Bur Oak",0,1995,0.397
"398",139,5,"Bur Oak",0,1993,0.33
"399",139,5,"Bur Oak",0,1992,0.324
"400",139,5,"Bur Oak",0,1991,0.32
"401",139,5,"Bur Oak",0,1990,0.308
"402",140,5,"Bur Oak",0,2010,5.2
"403",140,5,"Bur Oak",0,2006,3
"404",140,5,"Bur Oak",0,2002,2.45
"405",140,5,"Bur Oak",0,1999,1.75
"406",140,5,"Bur Oak",0,1997,1.19
"407",140,5,"Bur Oak",0,1995,0.672
"408",140,5,"Bur Oak",0,1993,0.38
