"","IN","TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS","tag","TARGET_TAG"
"1",1,3,3.2,1.16,-0.98,54.2,-0.567,62.7095268373917,268,0.9928,3.33,-0.59,9.9,0,8,2,"train","yes"
"2",2,3,4.5,0.16,-0.81,26.1,-0.425,15,-327,1.02792,3.38,0.7,6.76263914594939,-1,7,3,"train","yes"
"3",3,NA,5.4,-0.86,0.27,-10.7,0.092,23,398,0.98527,5.02,0.64,12.3,-1,6,1,"test",NA
"4",4,5,7.1,2.64,-0.88,14.8,0.037,214,142,0.99518,3.12,0.48,22,-1,8,3,"train","yes"
"5",5,3,5.7,0.385,0.04,18.8,-0.425,22,115,0.9964,2.24,1.83,6.2,-1,6,1,"train","yes"
"6",6,4,8,0.33,-1.26,9.4,-0.0799765358767397,-167,108,0.99457,3.12,1.77,13.7,0,9,2,"train","yes"
"7",7,0,11.3,0.32,0.59,2.2,0.556,-37,15,0.9994,3.2,1.29,15.4,0,11,2,"train","no"
"8",8,0,7.7,0.29,-0.4,21.5,0.06,287,156,0.99572,3.49,1.21,10.3,0,8,1,"train","no"
"9",9,NA,12.4,0.385,-0.76,-19.7,1.169,-37,68,0.99048,3.37,1.09,16,0,6,2,"test",NA
"10",10,NA,7.2,1.75,0.17,-33,0.065,9,76,1.04641,4.61,0.68,8.55,0,8,1,"test",NA
"11",11,4,6.5,-1.22,0.34,1.4,0.04,523,551,1.03236,3.2,0.35509026674469,11.6,1,7,3,"train","yes"
"12",12,3,14.8,0.27,1.05,11.25,-0.007,-213,192.140468468858,0.9962,4.93,0.26,15,0,6,4,"train","yes"
"13",13,6,5.5,-0.22,0.39,1.8,-0.277,62,180,0.94724,3.09,0.75,12.6,0,8,4,"train","yes"
"14",14,0,-17.2,0.52,0.15,-33.8,-0.022,551,65,0.9934,4.31,0.56,13.1,1,5,1,"train","no"
"15",15,4,9,0.22,0.49,10.4,-0.15,-57.3236197030318,195,1.05918,3.01,-0.4,10.2,0,10,2,"train","yes"
"16",16,3,6,0.33,-1.06,3,0.518,5,378,0.96643,3.55,-0.86,3.9,1,7,2,"train","yes"
"17",17,7,14.9,0.32,0.34,1.3,0.042,20,78.7447564802339,0.95523,2.93,2.16,12,2,8,3,"train","yes"
"18",18,NA,6.2,0.1,1.8,1,-0.179,104,89,0.98877,3.2,2.11,12.3,-1,8,1,"test",NA
"19",19,4,21.8,0.51,1.83,2.9,-0.165,-49,45,0.9974,6.02,2.23,12.1,0,9,1,"train","yes"
"20",20,0,5.7,0.5,-0.11,6.1,0.071,234,-331,0.9978,3.35,1.37547831199399,6.8,0,8,4,"train","no"
"21",21,NA,11.4,0.21,0.28,1.2,0.038,70,53,1.02899,2.54,-0.07,4.8,0,10,1,"test",NA
"22",22,0,7.9,0.6,0.06,50.4,0.069,15,339,0.9964,3.3,0.46,3.9,1,9,2,"train","no"
"23",23,4,-1.3,0.22,2.95,-53,0.541,-85,-266,0.99672,3.61,0.82,10,0,8,3,"train","yes"
"24",24,5,10,0.23,0.27,14.1,0.033,-188,229,0.9988,3.14,0.88,11,1,11,2,"train","yes"
"25",25,4,6.8,0.475,-0.2,-50.75,0.047,-88,508,0.99403,3.23,0.35,18.3,-1,8,2,"train","yes"
"26",26,3,5.8,0.76,0.33,-26,-0.195,87,-283,0.9885,3.07,0.56,11.4,-1,6,1,"train","yes"
"27",27,2,6.5,0.24,0.24,-18.2,-0.182,15,60,1.00916,3.19,-1.01,9.8,-1,7,1,"train","yes"
"28",28,3,7.1,0.97,0.25,11.2,0.135,32,180,1.00278,3.14,0.42,9.5,0,8,1,"train","yes"
"29",29,4,4,0.35,0.67,4.2,0.333,-257,-126,0.98345,3.19,1.7,6.2,1,8,1,"train","yes"
"30",30,NA,17.6,0.04,-1.15,1.4,0.535,-250,140,0.95028,3.06,-0.02,11.4,1,8,4,"test",NA
"31",31,NA,15.5,0.53,-0.53,4.6,1.263,10,17,1.0002,3.07,0.75,8.5,0,12,3,"test",NA
"32",32,4,11.3,0.17,0.34,15.6,0.044,330,139,0.99752,3.06,3.83,9.1,0,7,2,"train","yes"
"33",33,0,2.7,-1.02,-0.53,-44,0.174,-60,72,0.99519,3.18,0.4,15.2,-1,7,1,"train","no"
"34",34,4,6.4,2.21,0.56,40.4,0.055,27,-166,1.04577,1.77,-3.12,9.1,1,7,2,"train","yes"
"35",35,6,8.3,-2.46,0.27,13.2,0.036,31,125.793316811521,0.99408,1.95,0.02,13,1,7,4,"train","yes"
"36",36,4,8,-0.01,-1.1,44.8,-0.35,17,129,1.03564,3.2,-1.18682858073989,16.6,0,9,2,"train","yes"
"37",37,NA,15.9,1.19,1.14,31.9,-0.299,115,381,1.03416,2.99,0.31,11.4,1,7,2,"test",NA
"38",38,3,7.4,0.36,0.06,33.8,-0.365,-135,39,0.99615,4.05,0.48,16,-1,8,1,"train","yes"
